,wrapperType,kind,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,collectionViewUrl,feedUrl,trackViewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,collectionHdPrice,releaseDate,collectionExplicitness,trackExplicitness,trackCount,trackTimeMillis,country,currency,primaryGenreName,contentAdvisoryRating,artworkUrl600,genreIds,genres,artistId,artistViewUrl,previewUrl,discCount,discNumber,trackNumber,isStreamable
30,track,song,1592111989,1592111990,CHATMAX,EMIWAY BANTAI -MALUM HAI NA (feat. CHATU BABA) - Single,EMIWAY BANTAI -MALUM HAI NA (feat. CHATU BABA),EMIWAY BANTAI -MALUM HAI NA (feat. CHATU BABA) - Single,EMIWAY BANTAI -MALUM HAI NA (feat. CHATU BABA),https://music.apple.com/in/album/emiway-bantai-malum-hai-na-feat-chatu-baba/1592111989?i=1592111990&uo=4,,https://music.apple.com/in/album/emiway-bantai-malum-hai-na-feat-chatu-baba/1592111989?i=1592111990&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/64/07/5e/64075e8f-c347-9730-439c-5c1fcdee7d08/artwork.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/64/07/5e/64075e8f-c347-9730-439c-5c1fcdee7d08/artwork.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/64/07/5e/64075e8f-c347-9730-439c-5c1fcdee7d08/artwork.jpg/100x100bb.jpg,15.0,15.0,,2021-10-24T12:00:00Z,notExplicit,notExplicit,1,82666,IND,INR,Hip-Hop/Rap,,,,,1589124422.0,https://music.apple.com/in/artist/chatmax/1589124422?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/27/92/b7/2792b7e3-505d-dc35-8ca7-4dcbd7ac4ead/mzaf_11432900718688480038.plus.aac.p.m4a,1.0,1.0,1.0,True
31,track,song,1676148822,1676148823,Abhimanyu Raj Lucifer,Ek Pardesi Mera Dil - Single,Ek Pardesi Mera Dil,Ek Pardesi Mera Dil - Single,Ek Pardesi Mera Dil (Divine x Shubh x Emiway Bantai x Mc Stan),https://music.apple.com/in/album/ek-pardesi-mera-dil-divine-x-shubh-x-emiway-bantai-x-mc-stan/1676148822?i=1676148823&uo=4,,https://music.apple.com/in/album/ek-pardesi-mera-dil-divine-x-shubh-x-emiway-bantai-x-mc-stan/1676148822?i=1676148823&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/6a/b8/14/6ab81406-f584-5d74-02ea-1797e32734c4/4039967334756_cover.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/6a/b8/14/6ab81406-f584-5d74-02ea-1797e32734c4/4039967334756_cover.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/6a/b8/14/6ab81406-f584-5d74-02ea-1797e32734c4/4039967334756_cover.jpg/100x100bb.jpg,,,,2023-03-11T12:00:00Z,explicit,explicit,1,152958,IND,INR,Hip-Hop/Rap,Explicit,,,,1614277657.0,https://music.apple.com/in/artist/abhimanyu-raj-lucifer/1614277657?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/ac/1e/2e/ac1e2e7c-592f-3b1c-f395-b64b9e19654c/mzaf_5589346860798324759.plus.aac.p.m4a,1.0,1.0,1.0,True
32,track,song,1672438951,1672438952,Abhimanyu Raj Lucifer,Mujhse Shaadi Karogi x Basti Ka Hasti - Single,Mujhse Shaadi Karogi x Basti Ka Hasti,Mujhse Shaadi Karogi x Basti Ka Hasti - Single,Mujhse Shaadi Karogi x Basti Ka Hasti (Mc Stan X Emiway Bantai),https://music.apple.com/in/album/mujhse-shaadi-karogi-x-basti-ka-hasti-mc-stan-x-emiway-bantai/1672438951?i=1672438952&uo=4,,https://music.apple.com/in/album/mujhse-shaadi-karogi-x-basti-ka-hasti-mc-stan-x-emiway-bantai/1672438951?i=1672438952&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/d7/98/8e/d7988ea0-cada-978d-93ca-cda7a5ef973b/4039967296245_cover.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/d7/98/8e/d7988ea0-cada-978d-93ca-cda7a5ef973b/4039967296245_cover.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/d7/98/8e/d7988ea0-cada-978d-93ca-cda7a5ef973b/4039967296245_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-02-13T12:00:00Z,explicit,explicit,1,128679,IND,INR,Dance,Explicit,,,,1614277657.0,https://music.apple.com/in/artist/abhimanyu-raj-lucifer/1614277657?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/8b/2f/d4/8b2fd4f6-e683-2f1e-9c63-856dc99429ad/mzaf_11879670008693929263.plus.aac.p.m4a,1.0,1.0,1.0,True
33,track,song,1683214839,1683214840,Abhimanyu Raj Lucifer,Woh Lamhe Woh Baatein (feat. Atif Aslam) - Single,Woh Lamhe Woh Baatein (with Atif Aslam),Woh Lamhe Woh Baatein (feat. Atif Aslam) - Single,Woh Lamhe Woh Baatein (with Atif Aslam) [Emiway Bantai x Mc Stan],https://music.apple.com/in/album/woh-lamhe-woh-baatein-with-atif-aslam-emiway-bantai-x-mc-stan/1683214839?i=1683214840&uo=4,,https://music.apple.com/in/album/woh-lamhe-woh-baatein-with-atif-aslam-emiway-bantai-x-mc-stan/1683214839?i=1683214840&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/64/58/b7/6458b720-3544-ca24-324f-cded09b27f70/4039967362926_cover.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/64/58/b7/6458b720-3544-ca24-324f-cded09b27f70/4039967362926_cover.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/64/58/b7/6458b720-3544-ca24-324f-cded09b27f70/4039967362926_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-04-12T12:00:00Z,explicit,explicit,1,157772,IND,INR,Dance,Explicit,,,,1614277657.0,https://music.apple.com/in/artist/abhimanyu-raj-lucifer/1614277657?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/48/ff/02/48ff02af-2506-28e8-fbbf-d958c722b3d0/mzaf_8157772154586981992.plus.aac.p.m4a,1.0,1.0,1.0,True
34,track,song,1666776109,1666776436,Emiway Bantai,Company - Single,Company,Company - Single,Company,https://music.apple.com/in/album/company/1666776109?i=1666776436&uo=4,,https://music.apple.com/in/album/company/1666776109?i=1666776436&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/1b/a0/4f/1ba04fa8-01ba-fff3-4ac2-0c4fda33f345/cover.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/1b/a0/4f/1ba04fa8-01ba-fff3-4ac2-0c4fda33f345/cover.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/1b/a0/4f/1ba04fa8-01ba-fff3-4ac2-0c4fda33f345/cover.jpg/100x100bb.jpg,18.0,18.0,,2023-01-22T12:00:00Z,notExplicit,notExplicit,1,222000,IND,INR,Hip-Hop/Rap,,,,,1450594347.0,https://music.apple.com/in/artist/emiway-bantai/1450594347?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/40/1e/1e/401e1e87-cae1-045f-7788-3fd16f23c9e6/mzaf_11541469363528521671.plus.aac.p.m4a,1.0,1.0,1.0,True
35,track,song,1542234791,1542234796,Emiway Bantai,Ring Ring (feat. Meme Machine) - Single,Ring Ring (feat. Meme Machine),Ring Ring (feat. Meme Machine) - Single,Ring Ring (feat. Meme Machine),https://music.apple.com/in/album/ring-ring-feat-meme-machine/1542234791?i=1542234796&uo=4,,https://music.apple.com/in/album/ring-ring-feat-meme-machine/1542234791?i=1542234796&uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/a0/60/62/a0606250-6740-17c7-086c-25bb1cfe8d78/cover.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/a0/60/62/a0606250-6740-17c7-086c-25bb1cfe8d78/cover.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/a0/60/62/a0606250-6740-17c7-086c-25bb1cfe8d78/cover.jpg/100x100bb.jpg,18.0,18.0,,2020-11-30T12:00:00Z,notExplicit,notExplicit,1,197647,IND,INR,Hip-Hop/Rap,,,,,1450594347.0,https://music.apple.com/in/artist/emiway-bantai/1450594347?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d8/15/ba/d815ba93-0853-4d82-50c5-dd4d005f591d/mzaf_16945378588785040362.plus.aac.p.m4a,1.0,1.0,1.0,True
36,track,song,1569951599,1569951603,Emiway Bantai,Bantai Ki Public - Single,Bantai Ki Public,Bantai Ki Public - Single,Bantai Ki Public,https://music.apple.com/in/album/bantai-ki-public/1569951599?i=1569951603&uo=4,,https://music.apple.com/in/album/bantai-ki-public/1569951599?i=1569951603&uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/cf/c1/36/cfc13601-e6cb-d36f-5c78-bab905dd6266/cover.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/cf/c1/36/cfc13601-e6cb-d36f-5c78-bab905dd6266/cover.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/cf/c1/36/cfc13601-e6cb-d36f-5c78-bab905dd6266/cover.jpg/100x100bb.jpg,18.0,18.0,,2021-05-30T07:00:00Z,explicit,explicit,1,165695,IND,INR,Indian,Explicit,,,,1450594347.0,https://music.apple.com/in/artist/emiway-bantai/1450594347?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/86/5c/25/865c2558-c8c2-ddb5-97fc-4a192d1ee688/mzaf_9482056405300450988.plus.aac.p.m4a,1.0,1.0,1.0,True
37,track,song,1435082720,1435082723,Emiway Bantai,Kadak Ban - Single,Kadak Ban,Kadak Ban - Single,Kadak Ban,https://music.apple.com/in/album/kadak-ban/1435082720?i=1435082723&uo=4,,https://music.apple.com/in/album/kadak-ban/1435082720?i=1435082723&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/05/0a/c1/050ac131-4adf-21c9-b6fc-487386d0a033/cover.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/05/0a/c1/050ac131-4adf-21c9-b6fc-487386d0a033/cover.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/05/0a/c1/050ac131-4adf-21c9-b6fc-487386d0a033/cover.jpg/100x100bb.jpg,11.0,11.0,,2018-07-27T12:00:00Z,notExplicit,notExplicit,1,134500,IND,INR,Hip-Hop/Rap,,,,,1450594347.0,https://music.apple.com/in/artist/emiway-bantai/1450594347?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b6/0f/1c/b60f1cf7-3586-bed3-ee43-1135dc8280ce/mzaf_5034911028482522349.plus.aac.p.m4a,1.0,1.0,1.0,True
38,track,song,1529579392,1529579393,Emiway Bantai,Thanks to God - Single,Thanks to God,Thanks to God - Single,Thanks to God,https://music.apple.com/in/album/thanks-to-god/1529579392?i=1529579393&uo=4,,https://music.apple.com/in/album/thanks-to-god/1529579392?i=1529579393&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/4c/c7/6f/4cc76f65-e22d-22b7-89f9-4a6af61e9b08/5059435867639.png/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/4c/c7/6f/4cc76f65-e22d-22b7-89f9-4a6af61e9b08/5059435867639.png/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/4c/c7/6f/4cc76f65-e22d-22b7-89f9-4a6af61e9b08/5059435867639.png/100x100bb.jpg,15.0,15.0,,2020-08-30T12:00:00Z,notExplicit,notExplicit,1,240390,IND,INR,Worldwide,,,,,1450594347.0,https://music.apple.com/in/artist/emiway-bantai/1450594347?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4f/3f/68/4f3f68da-ae3a-c3ec-5555-a24bfe48e32d/mzaf_12634610972668311584.plus.aac.p.m4a,1.0,1.0,1.0,True
39,track,song,1638262788,1638262811,Emiway Bantai,Fuck Emiway - Single,Fuck Emiway,Fuck Emiway - Single,Fuck Emiway,https://music.apple.com/in/album/fuck-emiway/1638262788?i=1638262811&uo=4,,https://music.apple.com/in/album/fuck-emiway/1638262788?i=1638262811&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/20/71/dc/2071dc17-780d-07e1-4529-29f7987242d5/cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/20/71/dc/2071dc17-780d-07e1-4529-29f7987242d5/cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/20/71/dc/2071dc17-780d-07e1-4529-29f7987242d5/cover.jpg/100x100bb.jpg,18.0,18.0,,2022-08-06T12:00:00Z,explicit,explicit,1,171655,IND,INR,Hip-Hop/Rap,Explicit,,,,1450594347.0,https://music.apple.com/in/artist/emiway-bantai/1450594347?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/d7/d9/1f/d7d91f8c-1a1a-fdc1-b2e9-dfce644a89ed/mzaf_11502471352498893165.plus.aac.p.m4a,1.0,1.0,1.0,True
